id	cross	sex	function
AD0231-C	cross-29-2	F	parent
AD0232-C	cross-29-2	M	parent
AD0234-C	cross-29-2	F	progeny
AD0235-C	cross-29-2	F	progeny
AD0236-C	cross-29-2	F	progeny
AD0237-C	cross-29-2	F	progeny
AD0238-C	cross-29-2	F	progeny
AD0239-C	cross-29-2	F	progeny
AD0240-C	cross-29-2	M	progeny
AD0241-C	cross-29-2	F	progeny
AD0242-C	cross-29-2	M	progeny
AD0243-C	cross-29-2	F	progeny
AD0244-C	cross-29-2	F	progeny
AD0245-C	cross-29-2	F	progeny
AD0246-C	cross-29-2	F	progeny
AD0247-C	cross-29-2	M	progeny
AD0248-C	cross-29-2	F	progeny
AD0249-C	cross-29-2	F	progeny
AD0250-C	cross-29-2	F	progeny
AD0251-C	cross-29-2	F	progeny
AD0252-C	cross-29-2	F	progeny
AD0253-C	cross-29-2	M	progeny
AD0254-C	cross-36-9	F	parent
AD0255-C	cross-36-9	M	parent
AD0259-C	cross-36-9	M	progeny
AD0260-C	cross-36-9	F	progeny
AD0261-C	cross-36-9	F	progeny
AD0262-C	cross-36-9	M	progeny
AD0263-C	cross-36-9	M	progeny
AD0265-C	cross-36-9	F	progeny
AD0266-C	cross-36-9	M	progeny
AD0267-C	cross-36-9	F	progeny
AD0268-C	cross-36-9	M	progeny
AD0269-C	cross-36-9	F	progeny
AD0270-C	cross-36-9	M	progeny
AD0271-C	cross-36-9	M	progeny
AD0272-C	cross-36-9	F	progeny
AD0273-C	cross-36-9	M	progeny
AD0274-C	cross-36-9	F	progeny
AD0275-C	cross-36-9	M	progeny
AD0276-C	cross-36-9	F	progeny
AD0305-C	cross-42-4	F	parent
AD0306-C	cross-42-4	M	parent
AD0309-C	cross-42-4	M	progeny
AD0310-C	cross-42-4	M	progeny
AD0311-C	cross-42-4	M	progeny
AD0312-C	cross-42-4	M	progeny
AD0313-C	cross-42-4	M	progeny
AD0314-C	cross-42-4	M	progeny
AD0315-C	cross-42-4	M	progeny
AD0316-C	cross-42-4	F	progeny
AD0317-C	cross-42-4	M	progeny
AD0318-C	cross-42-4	M	progeny
AD0319-C	cross-42-4	F	progeny
AD0320-C	cross-42-4	F	progeny
AD0322-C	cross-42-4	F	progeny
AD0323-C	cross-42-4	F	progeny
AD0347-C	cross-46-9	F	parent
AD0348-C	cross-46-9	M	parent
AD0351-C	cross-46-9	M	progeny
AD0352-C	cross-46-9	F	progeny
AD0353-C	cross-46-9	F	progeny
AD0354-C	cross-46-9	F	progeny
AD0355-C	cross-46-9	F	progeny
AD0356-C	cross-46-9	M	progeny
AD0357-C	cross-46-9	F	progeny
AD0358-C	cross-46-9	F	progeny
AD0359-C	cross-46-9	M	progeny
AD0360-C	cross-46-9	F	progeny
AD0361-C	cross-46-9	F	progeny
AD0362-C	cross-46-9	M	progeny
AD0363-C	cross-46-9	F	progeny
AD0364-C	cross-46-9	M	progeny
AD0365-C	cross-46-9	M	progeny
AD0366-C	cross-46-9	F	progeny
AD0367-C	cross-46-9	F	progeny
AD0368-C	cross-46-9	F	progeny
AD0369-C	cross-46-9	F	progeny
AD0370-C	cross-46-9	F	progeny
AD0438-C	cross-36-9	F	progeny
